Chapter;Latin Text;Old High German Text;Biblical References
II , 6;Et erit tibi gaudium et exultatio, et multi in nativitate eius gaudebunt.  Erit enim magnus coram domino et vinum et siceram non bibit et spiritu sancto replebitur adhuc ex utero matris suae,  et multos filiorum Israhel convertit ad dominum deum ipsorum.;Inti her ist thir gifeho inti blidida, inti manage in sinero giburti mendent. Her ist uuârlihho mihhil fora truhtine inti uuîn noh lîd ni trinkit inti heilages geistes uuirdit gifullit fon hinan fon reue sinero muoter, inti manage Israheles barno giuuerbit zi truhtine gote iro.;Lc 1 14-15
II , 7; Et ipse praecedet ante illum in spiritu et virtute Heliae, ut convertat corda patrum in filios, et incredibiles ad prudentiam iustorum, parare domino plebem perfectam.;Inti her ferit fora inan in geiste inti in megine Heliases, thaz her giuuente herzun fatero in kind, inti ungiloubfolle zi uuîstuome rehtero, garuuen truhtine thuruhthigan folc.;Lc 1 17
II , 8; Et dixit Zacharias ad angelum: Unde hoc sciam? ego enim sum senex, et uxor mea processit in diebus suis.;Inti quad Zacharias zi themo engile: uuanan uueiz ih thaz? ih bim alt, inti mîn quena fram ist gigangan in ira tagun.;Lc 1 18
II , 9;Et respondens angelus dixit ei: Ego sum Gabriel, qui adsto ante deum, et misus sum ad te haec tibi evangelizare.  Et ecce eris tacens et non poteris loqui usque in diem quo haec fiant, pro eo quod non credidisti verbis meis, quae implebuntur in tempore suo.;Thô antlingonti thie engil quad imo: ih bim Gabriel, thie azstantu fora gote, inti bim gisentit zi thir thisu thir sagen. Inti nu uuirdist thû suigenti inti ni maht sprehhan unzan then tag, in themo thisu uuerdent, bithiu uuanta thû ni giloubtus minen uuortun, thiu thar gifultu uuerdent in iro ziti.;Lc 1 19-20
II , 10;Et erat plebs expectans Zachariam, et mirabantur quod tardaret ipse in templo.  Egressus autem non poterat loqui ad illos, et cognoverunt quod visionem vidisset in templo. Et ipse erat innuens illis et permansit mutus.;"Inti uuas thaz folc beitonti Zachariam, inti vvuntorotun thaz her lazzeta in templo. Her uzgangenti ni mohta sprehhan zi in, inti forstuontun thaz her gisiht gisah in templo; her thaz bouhnenti in thuruhuuoneta stum.";Lc 1 21-22
II , 11;Et factum est ut inpleti sunt dies officii eius, abiit in domum suam.  Post hos autem dies concepit Elisabeth uxor eius et occultabat se mensibus ·V· dicens:  quia sic mihi fecit dominus in diebus, quibus respexit auferre obprobrium meum inter homines.;Inti gifulte uurdun tho taga sines ambahtes, gieng in sin hus. After then tagon intfieng Elisabeth sin quena inti tougilta sih fimf manoda, quedenti: uuanta sus teta mir trohtin in tagon, in then her giscouuuota arfirran minan itiuuiz untar mannon.;Lc 1 23-24
III, 1;In mense autem sexto missus est angelus Gabriel a deo in civitatem Galileae, cui nomen Nazareth,  ad virginem disponsatam viro, cui nomen erat Ioseph, de domo David, et nomen virginis Maria.;In themo sehsten manude gisentit uuard engil Gabriel fon gote in thie burg Galileæ, thero namo ist Nazareth, zi thiornun gimahaltero gommanne, themo namo uuas Ioseph, fon huse Dauides, inti namo thero thiornun Maria.;Lc 1 26-27
III, 2; Et ingressus angelus ad eam dixit: have gratia plena! dominus tecum, benedicta tu in mulieribus.;Inti ingangenti thie engil zi iru quad: heil uuis thu gebono follu! truhtin mit thir, gisegenot sîs thû in uuîbun.;Lc 1 28
III, 3; Quae cum vidisset, turbata est in sermone eius et cogitabat, qualis esset ista salutatio.;Tho siu thiu gisah, uuas gitruobit in sinemo uuorte inti thahta, uuelih uuari thaz uuolaqueti.;Lc 1 29
III, 4;"Et ait angelus ei: ne timeas, Maria, invenisti enim gratiam apud deum;  ecce concipies in utero et paries filium et vocabis nomen eius Ihesum.";"Quad iru ther engil: ni forhti thir, Maria, thu fundi huldi mit gote; seno nu inphahis in reue inti gibiris sun inti ginemnis sinan namon Heilant.";Lc 1 30-31
III, 5;Hic erit magnus et filius altissimi vocabitur, et dabit illi dominus sedem David patris eius, et regnabit in domo Iacob in aeternum,  et regni eius non erit finis.;Ther ist mihhil inti thes hoisten sun ist ginemnit, inti gibit imo truhtin sedal Dauides sines fater, inti rihhisot in huse Iacobes zi euuidu, inti sines rihhes nist enti.;Lc 1 32-33
III, 6; Dixit autem Maria ad angelum: quomodo fiet istud? quoniam virum non cognosco.;Quad tho Maria zi themo engile: vvuo mag thaz sîn? uuanta ih gommannes uuîs ni bim.;Lc 1 34
III, 7; Et respondens angelus dixit ei: spiritus sanctus superveniet in te, et virtus altissimi obumbrabit tibi, ideoque et quod nascetur sanctum vocabitur filius dei.;Antlingota tho ther engil, quad iru: thie heilago geist quimit ubar thih, inti thes hoisten megin biscatuit thih, bithiu thaz thar giboran uuirdit heilag, thaz uuirdit ginemnit gotes barn.;Lc 1 35
III, 8;Et ecce Elisabeth cognata tua et ipsa concepit filium in senectute sua, et hic mensis est sextus illi quae vocatur sterilis:  quia non erit impossibile apud deum omne verbum.;Seno nu Elisabeth thin magin, siu inphieng sun in ira alttuome, inti thiz ist thie sehsto manod theru thiu thar ginemnit ist unberenta: bithiu uuanta nist unodi mit gote íogiuuelih uuort.;Lc 1 36-37
III, 9; Dixit autem Maria: ecce ancilla domini, fiat mihi secundum verbum tuum. Et discessit ab illa angelus.;Thô quad Maria: seno nu gotes thiu, uuese mir after thinemo uuorte. Inti arfuor tho fon iru thie engil.;Lc 1 38
IV, 1;Exsurgens autem Maria in diebus illis abiit in montana cum festinatione in civitatem Iuda,  et intravit in domum Zachariæ et salutavit Elisabeth.;Arstantenti Maria in then tagon gieng in gibirgu mit ilungu in Iudeno burg, ingieng thô in hûs Zachariases inti heilizita Elisabeth.;Lc 1 39-40
IV, 2; Et factum est ut audivit salutationem Mariae Elisabeth, exultavit infans in utero eius.;Uuard thô, so siu gihorta heilizunga Mariun Helisabeth, gifah thaz kind in ira reue.;Lc 1 41
IV, 3;Et repleta est spiritu sancto Elisabeth,  et exclamavit voce magna et dixit: benedicta tu inter mulieres, et benedictus fructus ventris tui,  et unde hoc mihi, ut veniat mater domini mei ad me?;Uuard thô gifullit heilages geistes Helisabeth, arriof mihhilero stemnu inti quad: gisegenot sís thû untar uuîbun, inti gisegenot sí thie uuahsmo thinero uuamba, inti uuanan mir, thaz queme mines truhtines muoter zi mir?;Lc 1 42
IV, 4;Ecce enim ut facta est vox salutationis tuae in auribus meis, exultavit in gaudio infans in utero meo,  et beata quae credidit, quoniam perficientur ea quae dicta sunt ei a domino.;Seno nu sô sliumo sô thiu stemna uuard thines heilizinnes in minen órun, gifah in gifehen kind in minemo reue, inti saligu thiu thar giloubta, uuanta thiu uuerdent gifremitu thiu thar giquetan vvurdun iru fon truhtine.;Lc 1 44-45
IV, 5;Et ait Maria: magnificat anima mea dominum,  et exultavit spiritus meus in deo salutari meo,  quia respexit humilitatem ancillae suæ.;Thô quad Maria: mihhiloso mîn sela truhtin, inti gifah mîn geist in gote minemo heilante, bithiu uuanta her giscouuota ôdmuoti sinero thiuui.;Lc 1 46-47
IV, 6;Ecce enim ex hoc beatam me dicent omnes generationes,  quia fecit mihi magna qui potens est, et sanctum nomen eius,  et misericordia eius in progenies et progenies timentibus eum.;Seno nu fon thiu saliga mih quedent allu cunnu, bithiu uuanta mir teta mihhilu thie thar mahtig ist, inti heilag sîn namo, inti sîn miltida in cunnu inti in cunnu inan forhtanten.;Lc 1 49
IV, 7;Fecit potentiam in brachio suo, dispersit superbos mente cordis sui,  deposuit potentes de sede et exaltavit humiles,  esurientes implevit bonis et divites dimisit inanes.;Teta maht in sinemo arme, zispreitta ubarhuhtige muote sines herzen, nidargisazta mahtige fon sedale inti arhuob ódmuotige, hungerente gifulta guoto inti ótáge forliez ítale.;Lc 1 51-52
IV, 8;Suscepit Israhel puerum suum, memorari misericordiæ suæ,  sicut locutus est ad patres nostros, Abraham et semini eius in sæcula.;Inphieng Israhel sínan kneht, zi gimuntigonne sinero miltidu, sô her sprah zi unsen faterun, Abrahame inti sinemo samen zi uuerolti.;Lc 1 54-55
IV, 9; Mansit autem Maria cum illa quasi mensibus tribus, et reversa est in domum suam.;Uuoneta Maria mit iru nah thri manoda, inti uuarb zi ira hûs.;Lc 1 56
IV;9a. Elisabeth autem impletum est tempus pariendi, et peperit filium suum.;Elisabeth uuârlihho uuard gifullit zît zi beranne, inti gibar ira sun.;Lc 1 57
IV, 10; Et audierunt vicini et cognati eius quia magnificavit dominus misericordiam suam cum illa, et congratulabantur ei.;Inti gihôrtun thaz thô ira nahiston inti ira cundon, thaz truhtin mihhilosota sína miltida mit iru, inti gifahun mit iru.;Lc 1 58
IV, 11;Et factum est in die octava, venerunt circumcidere puerum, et vocabant eum nomine patris eius Zachariam.  Et respondens mater eius dixit: nequaquam, sed vocabitur Iohannes.  Et dixerunt ad illam: quia nemo est in cognatione tua qui vocetur hoc nomine.;Uuard thô in themo ahtuden tage, quamun zi bisnidanne thaz kind, namtun inan sines fater namen Zachariam. Antlingota thô sîn muoter inti quad: nio in altare, uzar sîn namo scal sîn Iohannes. Inti quadun zi iru: nioman nist in thinemo cunne thie thar ginemnit sî thesemo namen.;Lc 1 59-60
IV, 12;"Innuebant autem patri eius, quem vellet vocari eum?  Et postulans pugillarem scripsit dicens: Iohannes est nomen eius; et mirati sunt universi.  Apertum est autem ilico os eius et lingua eius, et loquebatur benedicens deum.";"Bouhnitun thô sinemo fater, uuenan her uuolti inan ginemnitan uuesan? Bat thô scrîbsahses, screib sus quedanti: Iohannes ist sîn namo; vvuntorotun thaz thô alle. Gioffonota sih thô sliumo sîn mund inti sîn zunga, inti sprah got uuihenti.";Lc 1 62-63
IV, 13;Et factus est timor super omnes vicinos eorum, et super omnia montana Iudeæ divulgabantur omnia verba hæc,  et posuerunt omnes qui audierunt in corde suo dicentes: quid putas puer iste erit? etenim manus domini erat cum illo.;Uuard thô forhta ubar alle iro nahiston, inti ubar allu gibirgu Iudeno vvurdun gimarit allu thisu uuort, inti gisaztun alle thie iz gihortun in iro herzen sus quedante: uuaz uuanis these kneht sî? inti gotes hant uuas mit imo.;Lc 1 65-66
IV, 14;Et Zacharias pater eius impletus est spiritu sancto et prophetavit dicens:  benedictus dominus deus Israhel, quia visitavit et fecit redemtionem plebi suae,  et erexit cornu salutis nobis in domo David pueri sui.;Inti Zacharias sîn fater uuard gifullit heilages geistes inti uuizagota sus quedanti: giuuihit sí truhtin got Israhelo, bithiu uuanta uuîsota inti teta lôsunga sinemo folke, inti arrihta horn heili uns in húse Dauides sînes knehtes.;Lc 1 67-68
IV, 15;Sicut locutus est per os sanctorum, qui a sæculo sunt, prophetarum eius,  salutem ex inimicis nostris et de manu omnium qui oderunt nos,  ad faciendam misericordiam cum patribus nostris et memorari testamenti sui sancti,  iusiurandum quod iuravit ad Abraham patrem nostrum, daturum se nobis,;Só her sprah thuruh mund heilagero, thie fon uuerolti uuarun, sinero uuizagono, heili fon unsaren fiiantun inti fon henti allero thie unsih hazzotun, zi tuonne miltida mit unsaren faterun inti zi gihugenne sinero heilagun giuuiznessi, thero eidburti thie her suor zi Abrahame unsaremo fater, sih uns zi gebanne,;Lc 1 70-71
IV, 16;Ut sine timore de manibus inimicorum nostrorum liberati serviamus illi  in sanctitate et iustitia coram ipso omnibus diebus nostris.;Thaz uzan forhta fon hentin unsero fiianto arlôste thionomes imo in heilagnesse inti in rehte fora imo allen unsaren tagun.;Lc 1 74-75
IV, 17;Et tu puer propheta altissimi vocaveris, praeibis enim ante faciem domini parare vias eius,  ad dandam scientiam salutis plebi eius in remissionem peccatorum eorum.;Thû kneht uuizago thes hohisten bis thû ginemnit, foraferis uuârlihho fora truhtines annuzzi zi garuuenne sinan uueg, zi gebanne uuîstuom heili sinemo folke in forlâznessi iro suntono.;Lc 1 76-77
IV, 18;Per viscera misericordiæ dei nostri, in quibus visitavit nos oriens ex alto,  inluminare his qui in tenebris et in umbra mortis sedent, ad dirigendos pedes nostros in viam pacis.;Thuruh innuouilu miltida unsares gotes, in then uuîsota unsih úfgang fon hohi, inliuhten then thie thar in finstarnessin inti in scuuen todes sizzent, zi girihtenne unsera fuozzi in uueg sibba.;Lc 1 78-79
IV, 19; Puer autem crescebat et confortabatur spiritu, et erat in deserto usque in diem ostensionis suæ ad Israhel.;Ther kneht vvuohs inti uuard gistrengisot geiste, inti uuas in vvuostinnu unzan then tag sinero arougnessi zi Israhel.;Lc 1 80
V, 1;Liber generationis Ihesu Christi filii David, filii Abraham:  Abraham genuit Isaac. Isaac autem genuit Iacob. Iacob autem genuit Iudam et fratres eius.  Iudas autem genuit Phares et Zara de Thamar. Phares autem genuit Esrom. Esrom autem genuit Aram.  Aram autem genuit Aminadab. Aminadab autem genuit Naason. Naason autem genuit Salmon.  Salmon autem genuit Booz de Rachab. Booz autem genuit Obed ex Ruth. Obed autem genuit Iesse. Iesse autem genuit David regem.;Buoh cunnes heilantes Christes, Dauides sunes, Abrames sunes: Abraham gibar Isaken. Isaac gibar Iacoben. Iacob gibar Iudam inti sine bruoder. Iudas gibar Phares inti Zara fon Thamar. Phares gibar Esromen. Esrom gibar Aramen. Aram gibar Aminadaben. Aminadab gibar Naasonen. Naason gibar Salmonen. Salmon gibar Boozen fon Rachab. Booz gibar Obeden fon Ruth. Obed gibar Iesse. Iesse gibar Dauiden then cuning.;Mt 1 1-2
V, 2;David autem rex genuit Salomonem.  Salomon autem genuit Roboam. Roboam autem genuit Abia. Abia autem genuit Asa.  Asa autem genuit Iosaphath. Iosaphath autem genuit Ioram. Ioram autem genuit Oziam.  Ozias autem genuit Ioatham. Ioatham autem genuit Achaz. Achaz autem genuit Ezechiam.  Ezechias autem genuit Manassen. Manasses autem genuit Ammon. Ammon autem genuit Iosiam.;Dauid ther cuning gibar Salomonen. Salomon gibar Roboamen. Roboam gibar Abia. Abia gibar Asa. Asa gibar Iosaphathen. Iosaphath gibar Ioramen. Ioram gibar Oziasen. Ozias gibar Ioathamen. Ioatham gibar Achazen. Achaz gibar Ezechiasen. Ezechias gibar Manassesen. Manasses gibar Ammonen. Ammon gibar Iosiasen.;Mt 1 6-7
V, 4;Iacob autem genuit Ioseph virum Mariæ, de qua natus est Ihesus, qui vocatur Christus. Abraham autem fuit filius Tharæ, qui fuit Nachor,  qui fuit Seruch, qui fuit Ragau, qui fuit Phaleg, qui fuit Eber, qui fuit Salae,  qui fuit Cainan, qui fuit Arfaxat, qui fuit Sem, qui fuit Noe, qui fuit Lamech.  qui fuit Matusalæ, qui fuit Enoch, qui fuit Iared, qui fuit Malelehel, qui fuit Cainan,;Iacob gibar Ioseben gomman Mariun, fon thero giboran ist Heilant, thie thar ist ginemnit Christ. Abraham uuas sun Tharæ, thie uuas Nachor, thie uuas Seruch, thie uuas Ragau, thie uuas Phaleg, thie uuas Eber, thie uuas Salæ, thie uuas Cainan, thie uuas Arfaxat, thie uuas Sém, thie uuas Noe, thie uuas Lamech, thie uuas Matusalæ, thie uuas Enoch, thie uuas Iared, thie uuas Malelehel, thie uuas Cainan,;"Mt 1 16; Lc 3 34-35"
V, 5; Qui fuit Enos, qui fuit Seth, qui fuit Adam, qui fuit dei.;Thie uuas Enos, thie uuas Seth, thie uuas Adam, thie uuas gotes.;Mt 1 38
V, 6; Omnes generationes ab Abraham usque ad David generationes XIIII, et a David usque ad transmigrationem Babylonis generationes XIIII, et a transmigratione Babylonis usque ad Christum generationes XIIII.;Allo thio giburti fon Abrahame unzan Dauiden uuarun fiorzehen giburti, inti fon Dauide unzan úzfart zi Babyloniu fiorzehen giburti, inti fon thero ûzferti zi Babyloniu unzan Christ fiorzehen giburti.;Mt 1 17
V, 7;Christi autem generatio sic erat: Cum esset desponsata mater Ihesu Maria Ioseph, antequam convenirent, inventa est in utero habens de spiritu sancto.  Ioseph autem vir eius, cum esset iustus et nollet eam traducere, voluit occulte dimittere eam.;Cristes cunni uuas sô: Mit thiu uuas gimahalit thes heilantes muoter Maria Iosebe, êr thiu zisamane quamin, uuas siu fundan sô scaffaniu fon themo heilagen geiste. Ioseph thô ira gomman, mit thiu her reht man uuas inti ni uuolta sie meldon, uuolta tougolo sie forlazzan.;Mt 1 18-19
V, 8;Haec autem eo cogitante, ecce angelus domini in somnis apparuit ei dicens: Ioseph fili David, noli timere accipere Mariam coniugem tuam, quod enim in ea natum est, de spiritu sancto est.  Pariet autem filium, et vocabis nomen eius Ihesum, ipse enim salvum faciet populum suum a peccatis eorum.;Imo thô thaz thenkentemo girado truhtines engil in troume araugta sih imo inti quad: Ioseph Dauides sun, ni curi thû forhtan zi nemanne Mariun thina gimahhun, uuanta thaz in iru giboran ist, thaz ist fon themo heilagen geiste. Siu gibirit sun, inti thû ginemnis sinan namon Heilant, bithiu uuanta her sinaz folc heilaz tuot fon iro sunton.;Mt 1 20-21
V, 9;Hoc autem totum factum est, ut adimpleretur quod dictum est a domino per prophetam dicentem:  ecce virgo in utero habebit et pariet filium, et vocabunt nomen eius Emmanuel, quod est interpretatum: nobiscum deus.;Thaz algaro gitan ist, thaz uuari gifullit thaz thar giquetan uuas fon truhtine thuruh then uuizagon sus quedantan: seno nu thiorna in reue habet inti gibirit sun, inti giheizzent sinan namon Emmanuel, thaz ist arrekit: mit uns got.;Mt 1 22-23
V, 10;Exsurgens autem Ioseph a somno fecit sicut præcepit ei angelus domini et accepit conjugem suam,  et non cognoscebat eam, donec peperit filium suum primogenitum, et vocavit nomen eius Ihesum.;Arstantanti thô Ioseph fon slafe teta só imo gibôt truhtines engil inti inphieng sina gimahhun, inti ni uuard ira uuîs, unzan siu gibar ira sun êristboranon, inti gihiez sinan namon Heilant.;Mt 1 24-25
V, 11;Factum est autem in diebus illis, exiit edictum a Cæsare Augusto, ut describeretur universus orbis.  Hæc descriptio prima facta est a praeside Syriæ Cyrino,  et ibant omnes ut profiterentur singuli in suam civitatem.;Uuard thô gitân in then tagun, framquam gibot fon ðemo aluualten keisure, thaz gibrieuit vvurdi al these umbiuuerft. Thaz giscrib iz êristen uuard gitan in Syriu fon ðemo grauen Cyrine, inti fuorun alle, thaz biiâhin thionost iogiuuelih in sinero burgi.;Lc 2 1-2
V, 12;Ascendit autem et Ioseph a Galilea de civitate Nazareth in Iudaeam civitatem David, quae vocatur Bethlehem, eo quod esset de domo et familia David,  ut profiteretur cum Maria desponsata sibi uxore pregnante.;Fuor thô Ioseph fon Galileu fon thero burgi thiu hiez Nazareth in Iudeno lant inti in Dauides burg, thiu uuas ginemnit Bethleem, bithiu uuanta her uuas fon huse inti fon hiuuiske Dauides, thaz her giiahi saman mit Mariun imo gimahaltero gimahhun sô scaffaneru.;Lc 2 4-5
V, 13;Factum est autem cum essent ibi, impleti sunt dies ut pareret,  et peperit filium suum primogenitum et pannis eum involvit et reclinavit eum in presepio, quia non erat eis locus in diversorio.;Thô sie thar uuarun, vvurðun taga gifulte, thaz siu bari, inti gibar ira sun êristboranon inti biuuant inan mit tuochum inti gilegita inan in crippea, bithiu uuanta im ni uuas ander stat in themo gasthuse.;Lc 2 6-7
VI, 1;Et pastores erant in regione eadem vigilantes et custodientes vigilias noctis supra gregem suum.  Et ecce angelus domini stetit iuxta illos, et claritas dei circumfulsit illos, et timuerunt timore magno.;"Uuarun thô hirta in thero lantskeffi uuahhante inti bihaltante nahtuuahta ubar ero euuit. Quam thara gotes engil inti gistuont nâh in, inti gotes berahtnessi bischein sie; giforhtun sie im thô in mihhilero forhtu.";Lc 2 8-9
VI, 2;Et dixit illis angelus: nolite timere, ecce enim evangelizo vobis gaudium magnum, quod erit omni populo,  quia natus est vobis hodie salvator, qui est Christus dominus in civitate David.  Et hoc vobis signum: invenietis infantem pannis involutum et positum in presepio.;Inti quad im thie engil: ni curet îu forhten, ih sagen îu mihhilan gifehon, ther ist allemo folke, bithiu uuanta giboran ist îu hiutu Heilant, ther ist Christ truhtin in Dauides burgi. Thaz sî îu zi zeichane, thaz ir findet kind mit tuochum bivvuntanaz inti gilegitaz in crippa.;Lc 2 10-11
VI, 3;Et subito factum est cum angelo multitudo militiae cælestis laudantium deum et dicentium:  gloria in altissimis deo, et in terra pax hominibus bonae voluntatis.;Thô sliumo uuard thar mit themo engile menigi himilisches heres got lobontiu inti quedentiu: tiurida sí in then hohistôm gote, inti in erdu sí sibba mannun guotes uuillen.;Lc 2 13-14
VI, 4;Et factum ut discesserunt ab eis angeli in caelum, pastores loquebantur ad invicem: transeamus usque in Bethleem et videamus hoc verbum quod factum est, quod dominus ostendit nobis.  Et venerunt tunc festinantes et invenerunt Mariam et Ioseph et infantem positum in presepio.;"Uuard thô thaz arfuorun fon in thie engila in himil; thô sprachun thie hirta untar in zuisgen: farames zi Bethleem inti gisehemes thaz uuort thaz thar gitân ist, thaz truhtin uns araugta. Inti quamun thô ilente inti fundun Mariun inti Ioseben inti thaz kind gilegitaz in crippea.";Lc 2 15-16
VI, 5;Videntes autem cognoverunt de verbo quod dictum erat illis de puero hoc,  et omnes qui audierunt mirati sunt, et de his quae dicta erant a pastoribus ad ipsos.;Sie thô gisehente forstuontun fon ðêmo uuorte thaz im giquetan uuas fon ðêmo kinde, inti alle thi thaz gihortun uuarun thaz vvuntoronte inti fon ðêm thiu giquetanu vvurdun zi im fon ðem hirtin.;Lc 2 17-18
VI, 6; Maria autem conservabat omnia verba hæc conferens in corde suo.;Maria uuârlihho gihielt allu thisu uuort ahtonti in ira herzen.;Lc 2 19
VI, 7; Et reversi sunt pastores glorificantes et laudantes deum in omnibus quae audierant et viderant, sicut dictum est ad illos.;Vvurbun thô thie hirta heimuuartes diurente inti got lobonte in allem them thiu sie gihortun inti gisahun, soso zi im gisprochan uuas.;Lc 2 20
VII, 1;" Et postquam consummati sunt dies octo, ut circumcideretur puer, vocatum est nomen eius Ihesus; quod vocatum est ab angelo, priusquam in utero conciperetur.";After thiu thô argangana uuarun ahtu taga, thaz thaz kind bisnitan vvurdi, uuard imo ginemnit namo Heilant: thie namo uuard ginemnit fon engile, êr thanne her in reue inphangan vvurdi.;Lc 2 21
VII, 2;Et postquam impleti sunt dies purgationis eius secundum legem Moysi, tulerunt illum in Hierusalem, ut sisterent eum domino,  sicut scriptum est in lege domini: quia omne masculinum adaperiens vulvam sanctum domino vocabitur.;Inti after thiu gifulta uuarun taga sinero subarnessi after Moyseses euuu, brahtun sie inan thô in Hierusalem, thaz si inan gote giantvvurtitin, sô iz giscriban ist in gotes euuu: bithiu uuanta íogiuuelih gommanbarn, thaz uuamba êrist intuot, heilag gote ginemnit.;Lc 2 22-23
VII, 3; Et ut darent hostiam, secundum quod dictum est in lege domini, par turturum aut duos pullos columbarum.;Inti thaz sie gabin obphar after thiu giquetan ist in euuu truhtines, zua gimachun turtilitubun edo zuei tubiclin.;Lc 2 24
VII, 4;Et ecce homo erat in Hierusalem, cui nomen Simeon, et homo iste iustus et timoratus, exspectans consolationem Israhel, et spiritus sanctus erat in eo,  et responsum acceperat a spiritu sancto, non visurum se mortem nisi prius videret Christum domini.;"Seno nu tho uuas man in Hierusalem, thes namo uuas gihezzan Simeon, inti ther man uuas reht inti gotforht, beitonti Israhelo fluobra, inti heilag geist uuas in imo; inphieng thô antvvurti fon themo heilagen geiste, thaz her ni arsturbi, êr thanne her gisahi Christ truhtin.";Lc 2 25-26
VII, 5;Et venit in spiritu in templum, et cum inducerent puerum Ihesum parentes eius, ut facerent secundum consuetudinem legis pro eo,  et ipse accepit eum in ulnas suas et benedixit deum et dixit:;Quam thô in geiste in thaz gotes hûs, inti thô sie ingileittun thaz kind Heilant sine eldiron, thaz sie tatin after giuuonu euuu furi inan, her thô inphieng inan in sine arma inti lobota got inti quad:;Lc 2 27-28
VII, 6;Nunc dimittis servum tuum, domine, secundum verbum tuum in pace,  quia viderunt oculi mei salutare tuum,  quod parasti ante faciem omnium populorum,  lumen ad revelationem gentium et gloriam plebis tuæ Israhel.;Nu forlaz thu, truhtin, thinan scalc after thinen uuortun in sibba, bithiu uuanta gisahun minu ougun thinan heilant, then thu giantvvurtitus fora annuze allero folco, lioht zi inrigannesse thiotono inti zi diuridu thines folkes Israhelo.;Lc 2 29-30
VII, 7;Et erat pater eius et mater mirantes super his quae dicebantur de illo,  et benedixit illis Simeon et dixit ad Mariam matrem eius:;Uuas thô sîn fater inti muoter vvuntoronti ubar thiu thiu ðar giquetanu uuarun fon imo, inti uuihita in thô Simeon inti quad zi Mariun sinero muoter:;Lc 2 33-34
